source,facilitator,network,address,address_role
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0x001ddabba5782ee48842318bd9ff4008647c8d9c,facilitator_address_page_match
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0x3a70788150c7645a21b95b7062ab1784d3cc2104,facilitator_address_page_match
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0x708e57b6650a9a741ab39cae1969ea1d2d10eca1,facilitator_address_page_match
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0x7f6d822467df2a85f792d4508c5722ade96be056,facilitator_address_page_match
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0x9aae2b0d1b9dc55ac9bab9556f9a26cb64995fb9,facilitator_address_page_match
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0x9c09faa49c4235a09677159ff14f17498ac48738,facilitator_address_page_match
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0x9fb2714af0a84816f5c6322884f2907e33946b88,facilitator_address_page_match
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0xcbb10c30a9a72fae9232f41cbbd566a097b4e03a,facilitator_address_page_match
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0xce82eeec8e98e443ec34fda3c3e999cbe4cb6ac2,facilitator_address_page_match
x402.watch/facilitator/coinbase,coinbase,eip155:8453,0xdbdf3d8ed80f84c35d01c6c9f9271761bad90ba6,facilitator_address_page_match
https://facilitator.daydreams.systems/supported,facilitator.daydreams.systems,eip155:*,0x1363c7ff51ccce10258a7f7bddd63baab6aaf678,signer
https://facilitator.dexter.cash/supported,facilitator.dexter.cash,eip155:*,0x402feee072d655b85e08f1751af9ddbcd249521f,signer
https://facilitator.dexter.cash/supported,facilitator.dexter.cash,*,0x402feee072d655b85e08f1751af9ddbcd249521f,signer
https://facilitator.heurist.xyz/supported,facilitator.heurist.xyz,eip155:*,0x021cc47adeca6673def958e324ca38023b80a5be,signer
https://facilitator.heurist.xyz/supported,facilitator.heurist.xyz,eip155:*,0x1fc230ee3c13d0d520d49360a967dbd1555c8326,signer
https://facilitator.heurist.xyz/supported,facilitator.heurist.xyz,eip155:*,0x290d8b8edcafb25042725cb9e78bcac36b8865f8,signer
